id,collocation,label,synonym,source,sentence_with_gap,sentence_filled
69,вдаваться в тонкости,1,детализировать,dict,"На собрании он предпочёл не [MASK] решаемой проблемы, ограничившись общими фразами о ней.","На собрании он предпочёл не вдаваться в тонкости решаемой проблемы, ограничившись общими фразами о ней."
70,вдохнуть аромат,0,-,nat_corpus,,
71,вдохнуть бодрость,1,оживить,nat_corpus,"Утренняя пробежка [MASK] на весь день, и даже вечером он все еще чувствовал себя свежим.","Утренняя пробежка вдохнула в него бодрость на весь день, и даже вечером он все еще чувствовал себя свежим."
72,вдохнуть воздух,0,-,nat_corpus,,
73,вдохнуть грудью,0,-,nat_corpus,,
74,вдохнуть душу,1,оживить,nat_corpus,"Каждый раз, создавая картину, словно [MASK] в нее и придавал ей уникальность и свой характер.","Каждый раз, создавая картину, художник словно вдыхал душу в нее и придавал ей уникальность и свой характер."
75,вдохнуть жизнь,1,оживить,dict,"Режиссёр постарался [MASK] в давно забытый сюжет, сделав его актуальным для современных зрителей.","Режиссёр постарался вдохнуть жизнь в давно забытый сюжет, сделав его актуальным для современных зрителей."
76,вдохнуть пыль,0,-,nat_corpus,,
77,вдохнуть энергию,1,зарядить,nat_corpus,Приход весны наконец-то [MASK] в уставших от зимы жителей.,Приход весны наконец-то вдохнул энергию в уставших от зимы жителей.
78,вершить власть,0,-,nat_corpus,,
79,вершить вопросы,0,-,nat_corpus,,
80,вершить подвиг,1,геройствовать,nat_corpus,"Он спасал раненых под обстрелом и как храбрый воин [MASK], который потомки будут помнить веками.","Он спасал раненых под обстрелом и как храбрый воин вершил подвиг, который потомки будут помнить веками."
81,вершить расправу,1,расправляться,nat_corpus,"Без законных оснований начальник лагеря [MASK] над заключёнными по собственному усмотрению, не щадя никого из них.","Без законных оснований начальник лагеря вершил расправу над заключёнными по собственному усмотрению, не щадя никого из них."
82,вершить революцию,0,-,nat_corpus,,
83,вершить суд,1,судить,dict,"Городское вече принимало законы, решало вопрос о войне и мире, [MASK] по важнейшим преступлениям, связанным с лишением жизни и конфискацией имущества, избирало посадника.","Городское вече принимало законы, решало вопрос о войне и мире, вершило суд по важнейшим преступлениям, связанным с лишением жизни и конфискацией имущества, избирало посадника."
84,вершить судьбы,1,решать,nat_corpus,"Политики, обладающие властью, зачастую [MASK] миллионов, даже не осознавая всей ответственности.","Политики, обладающие властью, зачастую вершат судьбы миллионов, даже не осознавая всей ответственности."
85,вершить чудеса,0,-,nat_corpus,,
86,вести бизнес,0,-,nat_corpus,,
87,вести войну,1,воевать,dict,"Государство было вынуждено [MASK] на два фронта, несмотря на нехватку ресурсов и поддержку союзников.","Государство было вынуждено вести войну на два фронта, несмотря на нехватку ресурсов и поддержку союзников."
88,вести дебаты,1,дебатировать,dict,"Политики собрались в студии, чтобы [MASK] по поводу принятия нового закона.","Политики собрались в студии, чтобы вести дебаты по поводу принятия нового закона."
89,вести диалог,1,беседовать,dict,"Руководство компании решило [MASK] с сотрудниками, чтобы понять их потребности и настроения.","Руководство компании решило вести диалог с сотрудниками, чтобы понять их потребности и настроения."
90,вести дискуссию,1,дискутировать,dict,Участники круглого стола продолжали [MASK] по вопросу реформы образования до позднего вечера.,Участники круглого стола продолжали вести дискуссию по вопросу реформы образования до позднего вечера.
91,вести занятия,0,-,nat_corpus,,
92,вести политику,0,-,nat_corpus,,
93,вести следствие,0,-,nat_corpus,,
94,вешать картину,0,-,nat_corpus,,
95,вешать лапшу на уши,1,лгать,nat_corpus,"Почему ты все время [MASK] - когда ты уже перестанешь врать и будешь говорить, как есть?","Почему ты все время вешаешь мне лапшу на уши - когда ты уже перестанешь врать и будешь говорить, как есть?"
96,вешать нос,1,расстраиваться,dict,"После поражения команда снова начала [MASK], теряя боевой настрой.","После поражения команда снова начала вешать нос, теряя боевой настрой."
97,вешать пальто,0,-,nat_corpus,,
98,взваливать бремя,1,обременять,dict,"Он всегда умудряется [MASK] ответственности на других, даже если сам был инициатором.","Он всегда умудряется взваливать бремя ответственности на других, даже если сам был инициатором."
99,взваливать вину,1,обвинять,dict,"Он пытался [MASK] за случившееся на коллег, хотя сам допустил ошибку.","Он пытался взваливать вину за случившееся на коллег, хотя сам допустил ошибку."
100,взваливать вьюки,0,-,nat_corpus,,
101,взваливать лодку,0,-,nat_corpus,,
102,взваливать работу,1,нагружать,nat_corpus,"Руководство продолжает [MASK] на одного человека, не учитывая объём задач.","Руководство продолжает взваливать работу на одного человека, не учитывая объём задач."
103,взваливать сундук,0,-,nat_corpus,,
104,взвинчивать атмосферу,1,возбуждать,nat_corpus,Агрессивные споры начали [MASK] в переговорной комнате.,Агрессивные споры начали взвинчивать атмосферу в переговорной комнате.
105,взвинчивать бригаду,0,-,nat_corpus,,
106,взвинчивать воздух,0,-,nat_corpus,,
107,взвинчивать интерес,1,интересовать,nat_corpus,Пресс-служба намеренно стала [MASK] к кандидатуре нового директора.,Пресс-служба намеренно стала взвинчивать интерес к кандидатуре нового директора.
108,взвинчивать нервы,1,нервировать,nat_corpus,"Каждый раз, когда начальник начинал без повода придираться к мелочам и повышать голос, он только сильнее [MASK] сотрудникам, создавая в коллективе напряжённую атмосферу.","Каждый раз, когда начальник начинал без повода придираться к мелочам и повышать голос, он только сильнее взвинчивал нервы сотрудникам, создавая в коллективе напряжённую атмосферу."
109,взвинчивать цены,1,наценивать,dict,"Во время кризиса многие компании начали [MASK], что вызвало возмущение покупателей.","Во время кризиса многие компании начали взвинчивать цены, что вызвало возмущение покупателей."
110,взвинчивать человека,0,-,nat_corpus,,
111,взвинчивать читателя,0,-,nat_corpus,,
112,взвинчивать эмоции,1,возбуждать,nat_corpus,"Его причудливая, словно из другого мира музыка, всегда взвинчивает эмоции слушателей и создает настоящий ажиотаж в зале. ","Его причудливая, словно из другого мира музыка, всегда взвинчивает эмоции слушателей и создает настоящий ажиотаж в зале. "
113,взять билет,0,-,nat_corpus,,
114,взять в плен,1,пленить,nat_corpus,"Так как сопротивления от жителей села не последовало, то многих из них враги [MASK] и увели в свои войска.","Так как сопротивления от жителей села не последовало, то многих из них враги взяли в плен и увели в свои войска."
115,взять взаймы,0,-,nat_corpus,,
116,взять на работу,1,нанять,dict,После успешного собеседования кандидата решили [MASK] в отдел аналитики.,После успешного собеседования кандидата решили взять на работу в отдел аналитики.
117,взять себя в руки,1,успокоиться,nat_corpus,"Несмотря на шквал негативных эмоций, она смогла [MASK] и продолжить беседу, как ни в чем не бывало.","Несмотря на шквал негативных эмоций, она смогла взять себя в руки и продолжить беседу, как ни в чем не бывало."
118,взять трубку,0,-,nat_corpus,,
119,вкладывать деньги,0,-,nat_corpus,,
120,вкладывать инвестиции,1,инвестировать,nat_corpus,Начинающий инвестор решил [MASK] в быстрорастущие стартапы.,Начинающий инвестор решил вкладывать инвестиции в быстрорастущие стартапы.
121,вкладывать миллиарды,0,-,nat_corpus,,
122,вкладывать миллионы,0,-,nat_corpus,,
123,вкладывать понятие,1,значить,nat_corpus,В этот термин философ [MASK] жизни за пределами рационального мышления.,В этот термин философ вкладывает понятие жизни за пределами рационального мышления.
124,вкладывать силы,1,усердствовать,dict,"Мы готовы [MASK] в проект, потому что верим в его успех.","Мы готовы вкладывать силы в проект, потому что верим в его успех."
125,вкладывать смысл,1,осмыслять,dict,"Автор старался [MASK] в каждую строчку, чтобы читатель почувствовал её глубину.","Автор старался вкладывать смысл в каждую строчку, чтобы читатель почувствовал её глубину."
126,вкладывать средства,0,-,nat_corpus,,
127,включаться в борьбу,1,бороться,dict,После долгого нейтралитета страна решила [MASK] и поддержать союзников.,После долгого нейтралитета страна решила включиться в борьбу и поддержать союзников.
128,включаться в работу,1,работать,dict,"После отпуска он с энтузиазмом начал [MASK], словно и не было перерыва.","После отпуска он с энтузиазмом начал включаться в работу, словно и не было перерыва."
129,включаться в сеть,0,-,nat_corpus,,
130,включаться в соревнование,1,соперничать,nat_corpus,"Команда школьников с радостью начала [MASK], несмотря на серьёзную конкуренцию.","Команда школьников с радостью начала включаться в соревнование, несмотря на серьёзную конкуренцию."
131,включаться в состав,1,составлять,nat_corpus,После долгого ожидания новый игрок наконец смог [MASK] команды.,После долгого ожидания новый игрок наконец смог включиться в состав команды.
132,включаться в социум,0,-,nat_corpus,,
133,включаться в тайну,0,-,nat_corpus,,
134,включаться в формирование,0,-,nat_corpus,,
135,включить вентилятор,0,-,GPT-4o,,
136,включить воображение,1,вообразить,dict,"Чтобы понять, в какой ситуации оказался герой, нужно [MASK] и представить себя на его месте.","Чтобы понять, в какой ситуации оказался герой, нужно включить воображение и представить себя на его месте."
137,включить интуицию,1,подумать,nat_corpus,"Перед тем как принять решение, ей пришлось [MASK], чтобы почувствовать правильное направление.","Перед тем как принять решение, ей пришлось включить интуицию, чтобы почувствовать правильное направление."
138,включить обогреватель,0,-,GPT-4o,,
139,включить свет,0,-,GPT-4o,,
140,включить смекалку,1,подумать,dict,"Он смог выбраться из затруднительной ситуации, только когда сумел [MASK] и найти нестандартное решение.","Он смог выбраться из затруднительной ситуации, только когда сумел включить смекалку и найти нестандартное решение."
141,включить телевизор,0,-,GPT-4o,,
142,включить ум,1,подумать,dict,"В решающий момент нужно было не паниковать, а [MASK] и как следует подумать, чтобы найти выход.","В решающий момент нужно было не паниковать, а включить ум и как следует подумать, чтобы найти выход."
143,владеть голосом,0,-,nat_corpus,,
144,владеть инициативой,1,инициировать,dict,"Команда, сумевшая первой [MASK], диктовала ход всей встречи.","Команда, сумевшая первой овладеть инициативой, диктовала ход всей встречи."
145,владеть информацией,1,знать,nat_corpus,"Журналист должен в совершенстве [MASK], чтобы давать точную оценку событиям.","Журналист должен в совершенстве владеть информацией, чтобы давать точную оценку событиям."
146,владеть искусством,1,уметь,nat_corpus,"Он [MASK] убеждать людей, которое оттачивал несколько лет, участвуя в дебатах и переговорах.","Он владеет искусством убеждать людей, которое оттачивал несколько лет, участвуя в дебатах и переговорах."
147,владеть ситуацией,0,-,nat_corpus,,
148,владеть собственностью,0,-,nat_corpus,,
149,владеть умами,1,влиять,nat_corpus,Риторикой и харизмой этот оратор умеет [MASK] даже самых скептически настроенных.,Риторикой и харизмой этот оратор умеет овладевать умами даже самых скептически настроенных слушателей.
150,владеть формой,0,-,nat_corpus,,
151,вменять в вину,1,обвинять,dict,"Ему несправедливо попытались [MASK] проступок, которого он не совершал.","Ему несправедливо попытались вменить в вину проступок, которого он не совершал."
152,вменять в заслугу,0,-,nat_corpus,,
153,вменять в обязанность,1,обязывать,dict,Было решено [MASK] менеджера контроль за документацией.,Было решено вменять в обязанность менеджера контроль за документацией.
154,вменять издержки,0,-,nat_corpus,,
155,вменять обвинение,0,-,nat_corpus,,
156,вменять обязанность,1,навязать,nat_corpus,Мне [MASK] следить за отчетностью других сотрудников помимо моей волю - мне совершенно не хочется этим заниматься.,Мне вменили обязанность следить за отчетностью других сотрудников помимо моей волю - мне совершенно не хочется этим заниматься.
157,вменять преступление,0,-,nat_corpus,,
158,вменять человеку,1,внушать,nat_corpus,"Пытаться [MASK] то, во что он изначально не верит, - гиблое дело.","Пытаться вменять человеку то, во что он изначально не верит, - гиблое дело."
159,вносить вклад,1,вкладывать,dict,"Учёный продолжает [MASK] в развитие генетики, несмотря на возраст.","Учёный продолжает вносить вклад в развитие генетики, несмотря на возраст."
160,вносить данные,0,-,nat_corpus,,
161,вносить дезорганизацию,1,дезорганизовывать,dict,"Его поведение стало [MASK] в работу отдела, снижая эффективность всей команды.","Его поведение стало вносить дезорганизацию в работу отдела, снижая эффективность всей команды."
162,вносить замешательство,1,замещать,dict,Неожиданное заявление спикера могло [MASK] даже в подготовленную аудиторию.,Неожиданное заявление спикера могло вносить замешательство даже в подготовленную аудиторию.
163,вносить оживление,1,оживлять,dict,Его яркие выступления могут [MASK] даже в самую скучную конференцию.,Его яркое выступление смогло вносить оживление даже в самую скучную конференцию.
164,вносить подати,0,-,nat_corpus,,
165,вносить поднос,0,-,nat_corpus,,
166,вносить чемоданы,0,-,nat_corpus,,
167,внушать доверие,0,-,GPT-4o,,
168,внушать мысль,1,внушить,dict,Автор старательно пытался [MASK] о неизбежности перемен через аллегории.,Автор старательно пытался внушать мысль о неизбежности перемен через аллегории.
169,внушать надежду,1,обнадежить,dict,"Несмотря на трудности, врач умел [MASK] пациентам, и те начинали верить в выздоровление.","Несмотря на трудности, врач умел внушать надежду пациентам, и те начинали верить в выздоровление."
170,внушать ненависть,0,-,nat_corpus,,
171,внушать омерзение,1,омерзеть,dict,"Его внешний вид и поведение начинали [MASK] окружающим, особенно в официальной обстановке.","Его внешний вид и поведение начинали внушать омерзение у окружающих, особенно в официальной обстановке."
172,внушать опасение,1,испугать,dict,Поведение новых участников начало [MASK] организаторам мероприятия.,Поведение новых участников начало внушать опасение у организаторов мероприятия.
173,внушать отвращение,0,-,nat_corpus,,
174,внушать сомнение,0,-,nat_corpus,,
175,внять молению,0,-,nat_corpus,,
176,внять мудрости,0,-,nat_corpus,,
177,внять наветам,0,-,nat_corpus,,
178,внять нажежде,1,надеяться,nat_corpus,"Мы рады, что он наконец [MASK] на лучшее, вопрял духом и движется дальше.","Мы рады, что он наконец внял надежде на лучшее, вопрял духом и движется дальше."
179,внять намекам,1,понять,nat_corpus,"Её слова были не прямыми, но он сумел [MASK], которые она ему давала, и принял правильное решение.","Её слова были не прямыми, но он сумел внять намёкам, которые она ему давала, и принял правильное решение."
180,внять наставлениям,1,послушать,nat_corpus,"Молодого ученого наставляло множество старших коллег, и он с уважением [MASK], понимая, что они очень важны для его карьеры.","Молодого ученого наставляло множество старших коллег, и он с уважением внимал наставлениям, понимая, что они очень важны для его карьеры."
181,внять начальнику,0,-,nat_corpus,,
182,внять просьбе,1,откликнуться,dict,"Она долго сопротивлялась, но в конце концов решила [MASK] и помочь.","Она долго сопротивлялась, но в конце концов решила внять просьбе и помочь."
183,водворять бродягу,0,-,nat_corpus,,
184,водворять грамоту,1,обучать,nat_corpus,"Царская администрация стремилась [MASK] среди средних слоев населения, распространяя обучение письму и чтению.","Царская администрация стремилась водворять грамоту среди средних слоев населения, распространяя обучение письму и чтению."
185,водворять довольство,0,-,nat_corpus,,
186,водворять нарушителя,0,-,nat_corpus,,
187,водворять плодородие,0,-,nat_corpus,,
188,водворять порядок,1,упорядочивать,nat_corpus,"После массовых побоев в городе пришлось [MASK], задействовав силы армии.","После массовых побоев в городе пришлось водворять порядок, задействовав силы армии."
189,водворять просвещение,1,просвещать,nat_corpus,"В отдалённых деревнях правительство стало [MASK], открывая школы и библиотеки.","В отдалённых деревнях правительство стало водворять просвещение, открывая школы и библиотеки."
190,водворять спокойствие,1,успокаивать,nat_corpus,"После тревожных сообщений власти попытались [MASK] среди местных жителей и убедить всех, что причин для паники нет.","После тревожных сообщений власти попытались водворить спокойствие среди местных жителей и убедить всех, что причин для паники нет."
191,водворять тишину,1,утихомиривать,dict,"После суматохи он попытался [MASK] в зале, чтобы начать выступление.","После суматохи он попытался водворить тишину в зале, чтобы начать выступление."
192,водить бритвой,0,-,nat_corpus,,
193,водить войска,1,командовать,nat_corpus,"Генерал следил, как обучают будущих полководцев [MASK] по заданному маршруту и давал ценные советы.","Генерал следил, как обучают будущих полководцев водить войска по заданному маршруту и давал ценные советы."
194,водить дружбу,1,дружить,dict,Они начали [MASK] с детства и сохранили привязанность на всю жизнь.,Они начали водить дружбу с детства и сохранили привязанность на всю жизнь.
195,водить за нос,1,обманывать,nat_corpus,"Он умело [MASK] людей, заставляя их верить в несуществующие договорённости.","Он умело водил за нос людей, заставляя их верить в несуществующие договорённости."
196,водить кистью,0,-,nat_corpus,,
197,водить машину,1,ездить,nat_corpus,После окончания курсов в автошколе она уверенно начала [MASK] и даже сдала на права с первого раза.,После окончания курсов в автошколе она уверенно начала водить машину и даже сдала на права с первого раза.
